date,time,picture_attached,file_path,text
2024-05-13,18:28:25,False,,
2024-05-13,18:27:04,False,,https://youtu.be/tEu9WoC5BfM
2024-05-13,15:11:58,True,downloaded_images/20240513_151158.jpg,Let’s go!!
2024-05-13,15:06:52,False,,https://youtu.be/t2wFZgyXgfw
2024-05-13,12:49:16,True,downloaded_images/20240513_124916.jpg,💰💰💰💰
2024-05-13,10:29:20,True,downloaded_images/20240513_102920.jpg,EUR/JPY?
2024-05-13,10:25:53,True,downloaded_images/20240513_102553.jpg,
2024-05-13,10:25:29,True,downloaded_images/20240513_102529.jpg,ARE YOU IN?
2024-05-13,08:53:02,False,,"BOS, from high liquidity zone, above CP after a nice swing correction. Chris"
2024-05-13,08:30:53,True,downloaded_images/20240513_083053.jpg,Inflation data tomorrow and Wednesday!!
2024-05-13,08:23:40,False,,"Good morning traders', I have sent a survey to all members' to see if we can improve our service etc. All replies will remain confidential of course. Thanks Chris"
2024-05-13,07:56:37,False,,Good morning Chris and the trading team
2024-05-13,05:59:05,True,downloaded_images/20240513_055905.jpg,"Gold Update - sellers are in this morning to 2350, where we are likely to see a bounce off liquidity. A very quiet morning so far. Chris"
2024-05-13,05:44:43,False,,
2024-05-13,05:41:02,False,,https://youtu.be/778eDEhDOlM
