Message ID,Date,Text
1769,2024-05-22 10:02:50,TP 2 HIT ✅️
1768,2024-05-22 09:50:03,TP 1 HIT ✅️
1767,2024-05-22 08:24:58,NEW SIGNAL 🔥   EUR/NZD SELL @ 1.77454  TP1 - 1.77304 TP2 - 1.77154 TP3 - 1.76824  SL - 1.77904  When first position hits TP1 move SL to breakeven on the remaining positions.
1766,2024-05-22 06:23:36,TP 1 HIT ✅️
1765,2024-05-22 02:18:09,NEW SIGNAL 🔥   EUR/JPY BUY @ 169.692  TP1 - 169.842 TP2 - 169.992 TP3 - 170.322  SL - 169.242  When first position hits TP1 move SL to breakeven on the remaining positions.
1764,2024-05-22 02:01:50,TP 3 HIT ✅️
1763,2024-05-22 02:00:33,TP 2 HIT ✅️
1762,2024-05-22 02:00:25,TP 1 HIT ✅️
1761,2024-05-22 01:44:52,"Update 👍   It's been a slow week so far, the first in a while, due to multiple news events and bank holidays.  NZD CPI data is coming out in 20 minutes, and a new signal will be issued shortly after."
1760,2024-05-21 08:12:21,NEW SIGNAL 🔥   AUD/NZD SELL @ 1.09208  TP1 - 1.09108 TP2 - 1.09008 TP3 - 1.08788  SL - 1.09508  When first position hits TP1 move SL to breakeven on the remaining positions.
